World(robot=Robot(position=Point(x=761.0, y=469.5), angle=0.4787218193219731), goal=Point(x=719.927659372434, y=512.9685437804677), obstacles=[[Point(x=392, y=100), Point(x=397, y=545), Point(x=649, y=551), Point(x=644, y=106)]])
[Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)]
{1.2529656887054443: (Robot(position=Point(x=43.0, y=283.5), angle=1.632446608941419), MotorSpeed(left=50.0, right=-50.0), MotorSpeed(left=[8], right=[-10]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{13.716092824935913: (Robot(position=Point(x=264.0, y=359.5), angle=2.0503156999753545), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[52], right=[58]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{13.840698003768921: (Robot(position=Point(x=267.0, y=358.0), angle=2.013170562188489), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[58], right=[79]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{13.973986625671387: (Robot(position=Point(x=270.0, y=357.0), angle=2.013170562188489), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[56], right=[59]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{14.118628740310669: (Robot(position=Point(x=272.0, y=356.0), angle=2.013170562188489), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[62], right=[58]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{14.237335443496704: (Robot(position=Point(x=275.0, y=355.0), angle=2.013170562188489), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[53], right=[53]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{14.414387702941895: (Robot(position=Point(x=277.0, y=354.5), angle=2.018738351266248), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[43], right=[41]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{14.56952428817749: (Robot(position=Point(x=281.0, y=353.0), angle=2.013170562188489), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[44], right=[40]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{14.72366714477539: (Robot(position=Point(x=284.0, y=352.0), angle=2.013170562188489), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[42], right=[42]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{14.850896835327148: (Robot(position=Point(x=288.0, y=351.0), angle=2.013170562188489), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[42], right=[40]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{14.972950220108032: (Robot(position=Point(x=290.5, y=350.0), angle=1.9974237302945683), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[49], right=[43]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{15.117368459701538: (Robot(position=Point(x=292.5, y=348.5), angle=1.9914596895383427), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[50], right=[41]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{15.233662843704224: (Robot(position=Point(x=295.5, y=348.0), angle=2.0290964464353154), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[49], right=[41]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{15.393980503082275: (Robot(position=Point(x=298.5, y=347.5), angle=1.9914596895383427), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[49], right=[29]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{15.54349946975708: (Robot(position=Point(x=302.0, y=346.0), angle=2.013170562188489), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[51], right=[27]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{15.6593337059021: (Robot(position=Point(x=305.0, y=344.5), angle=2.018738351266248), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[57], right=[41]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{15.807837009429932: (Robot(position=Point(x=307.0, y=344.0), angle=2.013170562188489), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[58], right=[57]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{15.951735973358154: (Robot(position=Point(x=311.5, y=343.0), angle=1.9974237302945683), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[59], right=[59]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{16.096778631210327: (Robot(position=Point(x=313.5, y=340.5), angle=2.0344439367459843), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[56], right=[51]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{16.24936819076538: (Robot(position=Point(x=317.0, y=340.0), angle=2.013170562188489), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[53], right=[55]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{16.3740291595459: (Robot(position=Point(x=321.0, y=339.0), angle=2.013170562188489), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[54], right=[55]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{16.54130458831787: (Robot(position=Point(x=323.0, y=338.0), angle=2.013170562188489), MotorSpeed(left=50.0, right=-50.0), MotorSpeed(left=[50], right=[0]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{16.705554008483887: (Robot(position=Point(x=326.5, y=337.5), angle=1.9914596895383427), MotorSpeed(left=50.0, right=-50.0), MotorSpeed(left=[46], right=[-21]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{16.850558280944824: (Robot(position=Point(x=328.0, y=337.5), angle=1.9756880621121953), MotorSpeed(left=50.0, right=-50.0), MotorSpeed(left=[49], right=[-58]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{16.97195839881897: (Robot(position=Point(x=326.5, y=337.0), angle=1.9226129869626591), MotorSpeed(left=50.0, right=-50.0), MotorSpeed(left=[50], right=[-50]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{17.12701678276062: (Robot(position=Point(x=327.0, y=338.0), angle=1.907471023003919), MotorSpeed(left=50.0, right=-50.0), MotorSpeed(left=[49], right=[-59]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{17.27523136138916: (Robot(position=Point(x=328.0, y=339.5), angle=1.824470363061292), MotorSpeed(left=50.0, right=-50.0), MotorSpeed(left=[44], right=[-89]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{17.43107271194458: (Robot(position=Point(x=327.5, y=340.5), angle=1.7634971956418584), MotorSpeed(left=50.0, right=-50.0), MotorSpeed(left=[44], right=[-52]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{17.580368757247925: (Robot(position=Point(x=328.5, y=342.0), angle=1.6788080553220341), MotorSpeed(left=50.0, right=-50.0), MotorSpeed(left=[42], right=[-56]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{17.73652195930481: (Robot(position=Point(x=329.0, y=344.0), angle=1.643836818139417), MotorSpeed(left=50.0, right=-50.0), MotorSpeed(left=[42], right=[-38]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{17.892127990722656: (Robot(position=Point(x=329.0, y=345.0), angle=1.5707963327573369), MotorSpeed(left=50.0, right=-50.0), MotorSpeed(left=[42], right=[-18]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{18.017634391784668: (Robot(position=Point(x=329.5, y=347.0), angle=1.4866581777738164), MotorSpeed(left=50.0, right=-50.0), MotorSpeed(left=[42], right=[-40]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{18.161163806915283: (Robot(position=Point(x=328.5, y=347.5), angle=1.4254864076779912), MotorSpeed(left=50.0, right=-50.0), MotorSpeed(left=[42], right=[-45]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{18.318138360977173: (Robot(position=Point(x=329.0, y=349.5), angle=1.3876856187985966), MotorSpeed(left=50.0, right=-50.0), MotorSpeed(left=[41], right=[-39]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{18.457210779190063: (Robot(position=Point(x=328.5, y=350.0), angle=1.3171223024533818), MotorSpeed(left=-50.0, right=50.0), MotorSpeed(left=[42], right=[-55]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{18.577650785446167: (Robot(position=Point(x=328.5, y=351.5), angle=1.3024299959348271), MotorSpeed(left=-50.0, right=50.0), MotorSpeed(left=[0], right=[14]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{18.73378038406372: (Robot(position=Point(x=328.5, y=351.0), angle=1.3171223024533818), MotorSpeed(left=-50.0, right=50.0), MotorSpeed(left=[-37], right=[36]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{18.85876202583313: (Robot(position=Point(x=329.5, y=350.5), angle=1.3494819025205205), MotorSpeed(left=-50.0, right=50.0), MotorSpeed(left=[-45], right=[45]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{18.987594842910767: (Robot(position=Point(x=330.5, y=352.0), angle=1.363922439019544), MotorSpeed(left=-50.0, right=50.0), MotorSpeed(left=[-46], right=[40]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{19.13843584060669: (Robot(position=Point(x=331.0, y=350.5), angle=1.3876856187985966), MotorSpeed(left=-50.0, right=50.0), MotorSpeed(left=[-47], right=[48]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{19.291796445846558: (Robot(position=Point(x=332.5, y=349.0), angle=1.4390340665982793), MotorSpeed(left=-50.0, right=50.0), MotorSpeed(left=[-48], right=[57]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{19.4316349029541: (Robot(position=Point(x=333.5, y=348.5), angle=1.499488912026746), MotorSpeed(left=-50.0, right=50.0), MotorSpeed(left=[-48], right=[60]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{19.56601905822754: (Robot(position=Point(x=333.5, y=347.5), angle=1.5707963327573369), MotorSpeed(left=-50.0, right=50.0), MotorSpeed(left=[-50], right=[58]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{19.696462869644165: (Robot(position=Point(x=333.5, y=346.0), angle=1.6309645990537236), MotorSpeed(left=-50.0, right=50.0), MotorSpeed(left=[-50], right=[57]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{19.833736181259155: (Robot(position=Point(x=335.0, y=345.5), angle=1.6549347261594365), MotorSpeed(left=-50.0, right=50.0), MotorSpeed(left=[-45], right=[41]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{19.970789194107056: (Robot(position=Point(x=334.5, y=344.0), angle=1.7539070467160771), MotorSpeed(left=-50.0, right=50.0), MotorSpeed(left=[-49], right=[53]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{20.10535430908203: (Robot(position=Point(x=334.5, y=342.5), angle=1.7634971956418584), MotorSpeed(left=-50.0, right=50.0), MotorSpeed(left=[-47], right=[51]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{20.256250858306885: (Robot(position=Point(x=334.5, y=341.5), angle=1.8391626695798466), MotorSpeed(left=-50.0, right=50.0), MotorSpeed(left=[-53], right=[47]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{20.396145343780518: (Robot(position=Point(x=335.0, y=340.5), angle=1.9001224855588505), MotorSpeed(left=-50.0, right=50.0), MotorSpeed(left=[-46], right=[55]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{20.531805276870728: (Robot(position=Point(x=334.5, y=339.0), angle=1.9226129869626591), MotorSpeed(left=-50.0, right=50.0), MotorSpeed(left=[-50], right=[56]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{20.66599130630493: (Robot(position=Point(x=334.5, y=338.5), angle=2.0032041887448857), MotorSpeed(left=-50.0, right=50.0), MotorSpeed(left=[-48], right=[70]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{20.82059335708618: (Robot(position=Point(x=334.5, y=336.5), angle=2.0344439367459843), MotorSpeed(left=-50.0, right=50.0), MotorSpeed(left=[-50], right=[48]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{20.96108341217041: (Robot(position=Point(x=333.5, y=335.5), angle=2.1072316984342168), MotorSpeed(left=-50.0, right=50.0), MotorSpeed(left=[-46], right=[56]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{21.083411931991577: (Robot(position=Point(x=333.5, y=334.5), angle=2.1718700746701787), MotorSpeed(left=-50.0, right=50.0), MotorSpeed(left=[-48], right=[53]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{21.266990184783936: (Robot(position=Point(x=333.0, y=333.0), angle=2.1910458425687382), MotorSpeed(left=-50.0, right=50.0), MotorSpeed(left=[-53], right=[52]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{21.394920349121094: (Robot(position=Point(x=331.5, y=331.0), angle=2.2400527815030644), MotorSpeed(left=-50.0, right=50.0), MotorSpeed(left=[-53], right=[48]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{21.536792039871216: (Robot(position=Point(x=330.5, y=330.0), angle=2.273053250710828), MotorSpeed(left=-50.0, right=50.0), MotorSpeed(left=[-45], right=[43]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{21.677651405334473: (Robot(position=Point(x=331.0, y=328.5), angle=-3.894215740759509), MotorSpeed(left=-50.0, right=50.0), MotorSpeed(left=[-50], right=[46]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{21.807594299316406: (Robot(position=Point(x=328.5, y=328.5), angle=-3.8452064176393916), MotorSpeed(left=-50.0, right=50.0), MotorSpeed(left=[-48], right=[53]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{21.95373272895813: (Robot(position=Point(x=330.0, y=326.5), angle=-3.8289455552889278), MotorSpeed(left=-50.0, right=50.0), MotorSpeed(left=[-46], right=[59]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{22.08481216430664: (Robot(position=Point(x=328.0, y=325.5), angle=-3.7645017286135127), MotorSpeed(left=-50.0, right=50.0), MotorSpeed(left=[-48], right=[56]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{22.238487005233765: (Robot(position=Point(x=327.5, y=325.0), angle=-3.6820122381044795), MotorSpeed(left=-50.0, right=50.0), MotorSpeed(left=[-48], right=[56]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{22.363159656524658: (Robot(position=Point(x=327.0, y=323.5), angle=-3.6704742093874385), MotorSpeed(left=-50.0, right=50.0), MotorSpeed(left=[-50], right=[54]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{22.497917652130127: (Robot(position=Point(x=326.5, y=323.0), angle=-3.6508938451601436), MotorSpeed(left=-50.0, right=50.0), MotorSpeed(left=[-51], right=[51]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{22.654428482055664: (Robot(position=Point(x=325.0, y=322.0), angle=-3.5644466062380245), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[-42], right=[55]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{22.776025533676147: (Robot(position=Point(x=325.0, y=320.5), angle=-3.5284682889772823), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[-1], right=[52]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{22.933488607406616: (Robot(position=Point(x=324.5, y=319.0), angle=-3.5494605680300166), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[38], right=[51]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{23.102800369262695: (Robot(position=Point(x=326.5, y=316.5), angle=-3.5136603494478633), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[51], right=[53]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{23.24835228919983: (Robot(position=Point(x=325.5, y=313.0), angle=-3.5200199266268184), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[45], right=[46]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{23.38870334625244: (Robot(position=Point(x=327.0, y=310.0), angle=-3.534650721151965), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[43], right=[23]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{23.51069688796997: (Robot(position=Point(x=328.0, y=307.0), angle=-3.5055715223146846), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[43], right=[47]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{23.635996103286743: (Robot(position=Point(x=329.5, y=304.5), angle=-3.5136603494478633), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[45], right=[48]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{23.779642820358276: (Robot(position=Point(x=331.0, y=303.5), angle=-3.470385231573718), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[46], right=[51]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{23.920382738113403: (Robot(position=Point(x=332.0, y=300.0), angle=-3.5055715223146846), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[28], right=[83]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{24.060744524002075: (Robot(position=Point(x=332.5, y=297.5), angle=-3.484616674978869), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[40], right=[57]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{24.19526195526123: (Robot(position=Point(x=334.5, y=294.0), angle=-3.4913078924013545), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[57], right=[60]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{24.342968702316284: (Robot(position=Point(x=336.5, y=291.0), angle=-3.4913078924013545), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[56], right=[55]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{24.489427089691162: (Robot(position=Point(x=337.5, y=287.0), angle=-3.5200199266268184), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[56], right=[52]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{24.60787010192871: (Robot(position=Point(x=338.0, y=285.0), angle=-3.5055715223146846), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[55], right=[48]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{24.74205756187439: (Robot(position=Point(x=340.0, y=282.0), angle=-3.5055715223146846), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[56], right=[47]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{24.87902569770813: (Robot(position=Point(x=340.5, y=280.0), angle=-3.4913078924013545), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[56], right=[51]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{25.010027408599854: (Robot(position=Point(x=342.0, y=277.0), angle=-3.5055715223146846), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[68], right=[48]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{25.14583420753479: (Robot(position=Point(x=343.0, y=274.5), angle=-3.540653624136584), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[56], right=[49]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{25.306784868240356: (Robot(position=Point(x=343.5, y=272.0), angle=-3.4913078924013545), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[55], right=[49]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{25.431192874908447: (Robot(position=Point(x=347.5, y=268.0), angle=-3.4913078924013545), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[54], right=[45]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{25.568734884262085: (Robot(position=Point(x=347.0, y=266.5), angle=-3.5119160791231563), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[45], right=[41]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{25.71710515022278: (Robot(position=Point(x=348.5, y=264.0), angle=-3.4913078924013545), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[43], right=[40]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{25.834879875183105: (Robot(position=Point(x=350.0, y=260.0), angle=-3.5055715223146846), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[43], right=[41]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{25.99013376235962: (Robot(position=Point(x=351.0, y=258.0), angle=-3.47723118265404), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[44], right=[46]), [Point(x=323.0, y=338.0), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
